Local Time,Demand
07Jan2023 23:00:00,"29,063"
08Jan2023 0:00:00,"28,035"
08Jan2023 1:00:00,"26,701"
08Jan2023 2:00:00,"25,715"
08Jan2023 3:00:00,"24,810"
08Jan2023 4:00:00,"24,396"
08Jan2023 5:00:00,"24,013"
08Jan2023 6:00:00,"23,619"
08Jan2023 7:00:00,"24,167"
08Jan2023 8:00:00,"24,661"
08Jan2023 9:00:00,"25,703"
08Jan2023 10:00:00,"25,957"
08Jan2023 11:00:00,"25,278"
08Jan2023 12:00:00,"24,930"
08Jan2023 13:00:00,"24,665"
08Jan2023 14:00:00,"24,674"
08Jan2023 15:00:00,"25,246"
08Jan2023 16:00:00,"26,027"
08Jan2023 17:00:00,"26,675"
08Jan2023 18:00:00,"28,231"
08Jan2023 19:00:00,"30,601"
08Jan2023 20:00:00,"30,777"
08Jan2023 21:00:00,"30,544"
08Jan2023 22:00:00,"29,743"
08Jan2023 23:00:00,"28,455"
09Jan2023 0:00:00,"26,909"
09Jan2023 1:00:00,"25,267"
09Jan2023 2:00:00,"24,813"
09Jan2023 3:00:00,"24,583"
09Jan2023 4:00:00,"24,779"
09Jan2023 5:00:00,"24,928"
09Jan2023 6:00:00,"25,300"
09Jan2023 7:00:00,"26,368"
09Jan2023 8:00:00,"28,799"
09Jan2023 9:00:00,"31,157"
09Jan2023 10:00:00,"31,747"
09Jan2023 11:00:00,"32,218"
09Jan2023 12:00:00,"32,194"
09Jan2023 13:00:00,"32,556"
09Jan2023 14:00:00,"31,693"
09Jan2023 15:00:00,"31,186"
09Jan2023 16:00:00,"31,098"
09Jan2023 17:00:00,"31,579"
09Jan2023 18:00:00,"32,682"
09Jan2023 19:00:00,"33,831"
09Jan2023 20:00:00,"33,698"
09Jan2023 21:00:00,"32,842"
09Jan2023 22:00:00,"31,768"
09Jan2023 23:00:00,"30,628"
10Jan2023 0:00:00,"28,844"
10Jan2023 1:00:00,"27,098"
10Jan2023 2:00:00,"26,204"
10Jan2023 3:00:00,"25,484"
10Jan2023 4:00:00,"25,154"
10Jan2023 5:00:00,"24,954"
10Jan2023 6:00:00,"25,516"
10Jan2023 7:00:00,"26,846"
10Jan2023 8:00:00,"28,998"
10Jan2023 9:00:00,"30,900"
10Jan2023 10:00:00,"31,700"
10Jan2023 11:00:00,"32,079"
10Jan2023 12:00:00,"31,895"
10Jan2023 13:00:00,"31,857"
10Jan2023 14:00:00,"32,017"
10Jan2023 15:00:00,"31,568"
10Jan2023 16:00:00,"30,846"
10Jan2023 17:00:00,"31,089"
